country,stream,codes
1,1,SE560
1,2,SE644
1,2,SE662
1,3,ED012
1,3,ED014
1,3,ED011
1,3,ED013
1,4,SE683
1,4,SE809
1,5,SE500
1,5,SE496
1,5,SE487
2,1,SE900
2,2,SE902
2,3,SE901
2,6,SE905
2,4,SE903
2,5,SE904
3,7,SE006
3,7,SE003
4,6,SE774
4,5,SE508
5,1,SE590
5,1,SE561
5,1,SE610
5,1,SE762
5,8,SE720
5,2,SE643
5,3,ED007
5,3,ED009
5,3,ED006
5,3,ED008
5,3,ED010
5,7,SE007
5,7,SE009
5,7,SE012
5,7,SE014
5,7,SE441
5,7,SE416
5,7,SE417
5,7,SE032
5,7,SE015
5,9,SE509
5,9,SE540
5,4,SE700
5,4,SE788
5,4,SE682
5,4,SE810
5,5,SE502
5,5,SE557
5,5,SE489
5,10,SE621
6,1,SE563
6,8,SE721
6,2,SE639
6,2,SE630
6,7,SE400
6,7,SE044
6,4,SE680
6,5,SE501
6,5,SE494
6,5,SE485
6,10,SE620
7,1,SE568
7,2,SE663
7,2,SE641
7,7,SE017
7,7,SE008
7,7,SE021
7,7,SE005
7,5,SE504
7,10,SE623
8,11,SE390
8,11,SE380
9,1,SE592
9,5,SE524
9,10,SE820
10,7,SE010
11,1,SE753
11,2,SE647
11,5,SE756
11,10,SE755
12,5,SE529
12,10,SE625
13,1,SE575
13,3,ED017
13,3,ED020
13,3,ED019
13,7,SE062
13,7,SE801
13,7,SE004
13,7,SE419
13,7,SE423
13,7,SE011
14,2,SE744
14,5,SE515