codes,stream,college,institute_type
BS236,2,1,2
BS077,9,1,2
BS237,8,1,2
DS004,5,2,2
SP004,5,2,2
SF004,5,2,2
DS003,2,2,2
SF003,2,2,2
SP003,2,2,2
SF001,11,2,2
SP001,11,2,2
DS002,8,2,2
SP002,8,2,2
SF002,8,2,2
BS208,4,3,2
BS211,2,3,2
BS207,11,3,2
BS209,1,3,2
BS210,8,3,2
BS206,8,3,2
BS002,7,4,2
BS001,7,4,2
BS051,1,4,2
BS053,1,4,2
BS090,4,5,2
BS083,2,5,2
BS092,9,5,2
BS094,8,5,2
BS200,3,6,2
BS019,11,6,2
BS266,1,6,2
BS268,8,6,2
BS136,5,7,2
BS137,5,7,2
BS140,11,7,2
BS138,11,7,2
BS056,1,8,2
BS229,2,9,2
BS227,7,9,2
BS228,7,9,2
BS232,11,9,2
BS231,9,9,2
BS226,1,9,2
BS085,4,10,2
BS224,4,10,2
BS216,2,10,2
BS304,6,10,2
BS330,6,10,2
BS303,6,10,2
BS222,6,10,2
BS223,6,10,2
PD010,6,10,2
BS241,6,10,2
BS240,6,10,2
PD011,6,10,2
BS018,7,10,2
BS086,7,10,2
BS220,11,10,2
BS088,11,10,2
BS221,9,10,2
BS219,9,10,2
BS087,1,10,2
BS217,1,10,2
BS089,8,10,2
BS084,8,10,2
BS024,2,11,2
BS272,6,11,2
BS244,6,11,2
BS322,6,11,2
BS274,6,11,2
BS245,6,11,2
BS030,6,11,2
BS271,6,11,2
BS321,6,11,2
BS270,6,11,2
BS323,6,11,2
BS273,6,11,2
BS324,6,11,2
BS023,9,11,2
BS021,9,11,2
BS026,1,11,2
BS027,8,11,2
BS031,2,12,2
BS039,6,12,2
BS317,6,12,2
BS040,6,12,2
BS009,6,12,2
BS037,11,12,2
BS033,9,12,2
BS036,9,12,2
BS034,1,12,2
BS035,8,12,2
BS032,8,12,2
BS290,2,13,2
BS292,2,13,2
BS291,1,13,2
BS020,4,14,2
BS286,5,14,2
BS012,2,14,2
BS029,6,14,2
BS306,6,14,2
BS285,6,14,2
BS283,6,14,2
BS284,6,14,2
BS280,6,14,2
BS305,6,14,2
BS038,6,14,2
BS279,6,14,2
BS311,6,14,2
BS281,6,14,2
BS278,6,14,2
BS312,6,14,2
BS282,6,14,2
BS017,7,14,2
BS289,7,14,2
BS015,11,14,2
BS225,11,14,2
BS011,9,14,2
BS014,1,14,2
BS013,1,14,2
BS287,8,14,2
BS071,2,15,2
BS075,9,15,2
BS073,9,15,2
BS074,9,15,2
BS076,8,15,2
BS196,5,16,2
BS197,9,16,2
BS256,2,17,2
BS257,8,17,2
BS097,2,18,2
BS249,2,19,2
BS248,11,19,2
BS246,1,19,2
BS108,5,20,2
BS109,2,20,2
BS112,11,20,2
BS111,9,20,2
BS107,9,20,2
BS106,8,20,2
BS041,2,21,2
BS045,11,21,2
BS046,1,21,2
BS043,1,21,2
BS042,1,21,2
BS044,8,21,2
BS063,2,22,2
BS061,1,22,2
BS006,7,23,2
BS177,2,24,2
BS176,11,24,2
BS179,8,24,2
BS178,8,24,2
BS168,2,25,2
BS186,2,26,2
BS188,9,26,2
BS187,8,26,2
BS149,2,27,2
BS148,8,27,2
DS001,1,28,2